RSC,PI,KR,MH,Na,SAR,SSP,EC,IWQI,USABLE
0.0,0.6,1.5,59.2,57.9,48.4,26.3,1263.0,106.73700396825396,1.0
0.0,0.8,0.8,59.0,62.2,61.4,31.7,1020.0,108.5609126984127,1.0
0.0,0.6,0.0,41.1,74.9,22.9,14.8,1090.0,71.55783730158731,1.0
0.0,0.6,0.1,26.6,62.8,33.7,31.4,767.0,71.2515873015873,1.0
0.0,0.8,0.3,43.7,57.7,31.0,34.5,698.0,73.38521825396825,1.0
0.0,0.8,0.3,38.0,59.8,51.4,40.9,1000.0,93.41646825396825,1.0
0.0,0.6,1.0,29.6,62.7,15.4,44.4,929.0,72.71200396825397,1.0
0.0,0.8,0.7,30.8,61.0,24.5,25.5,1321.0,78.14424603174604,1.0
0.0,0.5,0.7,41.7,62.4,16.5,35.5,1190.0,76.0142857142857,1.0
0.0,0.4,0.5,24.2,74.0,10.6,38.6,800.0,63.75753968253969,1.0
0.0,0.5,0.7,59.7,62.4,16.9,32.0,1321.0,82.10039682539683,1.0
0.0,0.7,0.1,38.7,50.7,16.7,43.3,1170.0,68.39930555555556,1.0
0.0,0.6,0.9,31.0,63.2,14.4,36.3,1020.0,71.18214285714286,1.0
0.0,0.7,0.5,17.5,69.7,23.5,17.7,1170.0,70.69236111111111,1.0
0.0,0.6,0.7,16.9,52.7,11.4,27.7,900.0,56.47589285714285,1.0
0.0,0.5,0.5,27.1,56.9,9.2,32.6,1200.0,63.35109126984127,1.0
0.0,0.4,0.3,23.2,58.4,5.0,22.3,1420.0,59.33531746031747,1.0
0.0,0.5,0.7,20.8,51.2,13.0,40.5,660.0,57.275396825396825,1.0
0.0,0.5,0.6,28.1,36.4,13.0,38.2,513.0,50.617063492063494,1.0
0.0,0.7,0.6,23.0,32.1,22.1,61.0,435.0,58.75347222222222,1.0
0.0,0.6,0.9,22.0,70.9,17.8,48.7,520.0,68.46617063492064,1.0
0.0,0.5,0.7,31.9,48.6,16.2,42.3,980.0,67.24345238095238,1.0
0.0,0.6,0.2,22.3,35.1,21.2,24.4,852.0,53.33978174603175,1.0
0.0,0.4,0.5,40.8,37.3,10.2,32.4,1010.0,58.11101190476191,1.0
0.0,0.4,0.5,27.1,47.4,10.1,32.1,496.0,49.1311507936508,0.0
0.0,0.6,0.9,30.4,33.0,18.2,28.2,570.0,54.70853174603174,1.0
0.0,0.5,0.4,33.8,44.6,6.6,28.8,858.0,51.893452380952375,1.0
0.0,0.3,0.3,33.2,51.0,7.5,22.5,394.0,44.19107142857143,0.0
0.0,0.3,0.2,34.5,51.6,5.7,17.9,822.0,48.60357142857143,0.0
0.0,0.6,0.5,22.2,63.1,7.1,31.6,566.0,51.806448412698415,1.0
0.0,0.6,0.7,37.3,63.8,9.5,40.9,722.0,64.05853174603175,1.0
0.0,0.4,0.3,35.8,59.4,5.7,24.7,733.0,52.433928571428574,1.0
0.0,0.5,0.7,23.6,53.7,15.4,41.6,815.0,63.28164682539683,1.0
0.0,0.5,0.4,44.6,61.2,4.9,26.9,955.0,59.742063492063494,1.0
0.0,0.5,0.5,44.3,54.9,7.6,31.6,727.0,57.78164682539683,1.0
0.0,0.7,0.7,39.4,47.6,12.9,29.1,536.0,55.849999999999994,1.0
0.0,0.8,0.0,54.5,53.7,27.4,26.7,550.0,65.4185515873016,1.0
0.0,0.6,0.7,46.8,61.2,9.6,41.6,795.0,67.08214285714286,1.0
0.0,0.5,0.5,39.6,54.9,6.4,32.5,659.0,54.86498015873016,1.0
0.0,0.5,0.4,23.2,58.1,4.8,26.2,617.0,47.54553571428571,0.0
0.0,0.7,0.2,23.3,60.8,19.0,35.6,765.0,61.46111111111111,1.0
0.0,0.7,0.2,44.2,51.6,16.8,33.5,688.0,60.475,1.0
0.0,0.6,0.5,29.2,54.8,7.8,40.4,679.0,55.53214285714286,1.0
0.0,0.7,0.1,44.2,35.0,14.6,28.6,799.0,53.551388888888894,1.0
0.0,0.5,0.5,32.6,33.9,7.4,35.3,709.0,48.78025793650794,0.0
0.0,0.5,0.5,23.5,27.1,8.9,27.6,612.0,41.88025793650793,0.0
0.0,0.7,0.1,24.1,45.1,12.8,35.6,809.0,52.34930555555556,1.0
0.0,0.6,0.2,34.4,24.1,13.4,39.9,799.0,50.50228174603174,1.0
1.09,39.9,0.3,60.2,27.1,1.0,25.8,560.0,60.521527777777784,1.0
0.09,42.1,0.2,53.6,15.1,0.5,13.9,462.0,39.72549603174603,0.0
0.39,37.0,0.3,66.8,25.4,1.0,24.1,585.0,54.1140873015873,1.0
1.04,39.3,0.6,71.2,39.6,1.6,38.1,520.0,71.89563492063492,1.0
0.54,34.2,0.3,46.6,21.5,0.9,20.2,754.0,50.617559523809526,1.0
0.23,37.3,0.2,58.5,14.3,0.5,13.1,615.0,43.59335317460317,0.0
-0.52,32.5,0.3,57.3,23.5,1.0,22.3,662.0,42.0750992063492,0.0
